References,Value,Quantity Per PCB,Part,Digi-Key_PN,MPN,Manufacturer
BT1,Keystone 1058 (CR2032),1,Battery_Cell,36-1058-ND,1058,Keystone
C4 C7 C8 C12 C14,100nF,5,C_Small,1276-1099-1-ND,CL21B104KACNNNC,Samsung
C13,10nF,1,C_Small,311-1136-1-ND,CC0805KRX7R9BB103,Yageo
C5,10µF,1,C_Small,1276-1096-1-ND,CL21A106KOQNNNE,Samsung
C3,1nF,1,C_Small,1276-1020-1-ND,CL21B102KBANNNC,Samsung
C6,1µF,1,C_Small,1276-6469-1-ND,CL21B105KAFNNNG,Samsung
C1 C2 C15,4.7µF,3,C_Small,1276-1244-1-ND,CL21A475KAQNNNE,Samsung
C10 C11,47pF,2,C_Small,311-1107-1-ND,CC0805JRNPO9BN470,Yageo
C9,DNP/100nF,1,C_Small,1276-1099-1-ND,CL21B104KACNNNC,Samsung
D4,1N5819HW,1,D_Schottky_Small,1N5819HW-FDICT-ND,1N5819HW-7-F,Diodes Inc.
D2,PWR RED,1,LED_Small,732-4985-1-ND,150080SS75000,Würth
D1,Photodiode,1,D_Photo,VEMD1060X01CT-ND,VEMD1060X01,Vishay
D3,USR GRN,1,LED_Small,732-4986-1-ND,150080VS75000,Würth
F1,500mA,1,Polyfuse_Small,507-1802-1-ND,0ZCJ0050FF2G,Bel Fuse
FB1,220ΩZ,1,Ferrite_Bead_Small,490-16661-1-ND,BLM21PG221SZ1D,Murata
J2,Ext,1,Conn_02x05_Odd_Even,S2011EC-40-ND,PRPC040DAAN-RC,Sullins
J7,GCT_USB4108-GF-A,1,USB_C_Receptacle_USB2.0,2073-USB4105-GF-ACT-ND,USB4105-GF-A,GCT
J1,Header,1,Conn_01x08_Male,S7006-ND,PPTC081LFBN-RC,Sullins
J3,JTAG,1,Conn_ARM_JTAG_SWD_10,609-3695-6-ND,20021121-00010C4LF,Amphenol
Q1,MBT3904DW1T1G,1,MBT3904DW1T1G,MBT3904DW1T1GOSCT-ND,MBT3904DW1T1G,ON Semiconductor
R2 R3 R9 R10 R15 R16,10kΩ,6,R_Small,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo
R1,1MΩ,1,R_Small,311-1.00MCRCT-ND,RC0805FR-071ML,Yageo
R7,1kΩ,1,R_Small,311-1.00KCRCT-ND,RC0805FR-071KL,Yageo
R4,2.2kΩ,1,R_Small,311-2.20KCRCT-ND,RC0805FR-072K2L,Yageo
R13 R14,27Ω,2,R_Small,311-27.0CRCT-ND,RC0805FR-0727RL,Yageo
R5 R6 R8,4.7kΩ,3,R_Small,311-4.70KCRCT-ND,RC0805FR-074K7L,Yageo
R11 R12,5.1kΩ,2,R_Small,311-5.1KARCT-ND,RC0805JR-075K1L,Yageo
SW2,Boot,1,SW_Push,CKN12221-1-ND,PTS526 SK15 SMTR2 LFS,C&K
SW1,Reset,1,SW_Push,CKN12221-1-ND,PTS526 SK15 SMTR2 LFS,C&K
U1,AP2114H-3_3TRG1,1,AP2114H-3_3TRG1,AP2114H-3.3TRG1DICT-ND,AP2114H-3.3TRG1,Diodes Inc.
U4,DS1338Z-33+,1,DS1307ZN+,DS1338Z-33+T&RCT-ND,DS1338Z-33+T&R,Maxim
U7,DS18B20U,1,DS18B20U,DS18B20U+T&RCT-ND,DS18B20U+T&R,Maxim
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,1965-ESP32-WROOM-32E(8MBFLASH)CT-ND,ESP32-WROOM-32E (8MB),Espressif
U5,FT231XS,1,FT231XS,768-1129-1-ND,FT231XS-R,FTDI
U6,USBLC6-4SC6,1,USBLC6-4SC6,497-4492-1-ND,USBLC6-4SC6,ST Microelectronic
U2,‎SN74HCT245PWR‎,1,SN74LVC245AN,296-8404-1-ND,SN74HCT245PWR,Texas Instruments
Y1,"32.768Hz, 12.5pF, 45kΩ",1,Crystal_GND3,XC1911CT-ND,ECS-.327-12.5-13FLX-C,ECS Inc.
